number,name,species,types/0,types/1,abilities/0,abilities/1,abilities/2,genderThreshold,catchRate,eggGroups/0,eggGroups/1,hatchCounter,height,weight,baseExpYield,baseFriendship,expGroup,evYield/0,evYield/1,evYield/2,evYield/3,evYield/4,evYield/5,bodyStyle,color,baseStats/0,baseStats/1,baseStats/2,baseStats/3,baseStats/4,baseStats/5,pokedexX,pokedexY,pokedexOR,pokedexAS,learnset/xy/0,learnset/xy/1,learnset/xy/2,learnset/xy/3,learnset/xy/4,learnset/xy/5,learnset/xy/6,learnset/xy/7,learnset/xy/8,learnset/xy/9,learnset/xy/10,learnset/xy/11,learnset/xy/12,learnset/xy/13,learnset/xyLevels/0,learnset/xyLevels/1,learnset/xyLevels/2,learnset/xyLevels/3,learnset/xyLevels/4,learnset/xyLevels/5,learnset/xyLevels/6,learnset/xyLevels/7,learnset/xyLevels/8,learnset/xyLevels/9,learnset/xyLevels/10,learnset/xyLevels/11,learnset/xyLevels/12,learnset/xyLevels/13,learnset/oras/0,learnset/oras/1,learnset/oras/2,learnset/oras/3,learnset/oras/4,learnset/oras/5,learnset/oras/6,learnset/oras/7,learnset/oras/8,learnset/oras/9,learnset/oras/10,learnset/oras/11,learnset/oras/12,learnset/oras/13,learnset/orasLevels/0,learnset/orasLevels/1,learnset/orasLevels/2,learnset/orasLevels/3,learnset/orasLevels/4,learnset/orasLevels/5,learnset/orasLevels/6,learnset/orasLevels/7,learnset/orasLevels/8,learnset/orasLevels/9,learnset/orasLevels/10,learnset/orasLevels/11,learnset/orasLevels/12,learnset/orasLevels/13,learnset/tmhm/0,learnset/tmhm/1,learnset/tmhm/2,learnset/tmhm/3,learnset/tmhm/4,learnset/tmhm/5,learnset/tmhm/6,learnset/tmhm/7,learnset/tmhm/8,learnset/tmhm/9,learnset/tmhm/10,learnset/tmhm/11,learnset/tmhm/12,learnset/tmhm/13,learnset/tmhm/14,learnset/tmhm/15,learnset/tmhm/16,learnset/tmhm/17,learnset/tmhm/18,learnset/tmhm/19,learnset/tmhm/20,learnset/tmhm/21,learnset/tmhm/22,learnset/tmhm/23,learnset/tmhm/24,learnset/tmhm/25,learnset/tmhm/26,learnset/tmhm/27,learnset/tmhm/28,learnset/tmhm/29,learnset/egg/0,learnset/egg/1,learnset/egg/2,learnset/egg/3,learnset/egg/4,learnset/egg/5,learnset/egg/6,learnset/egg/7,learnset/egg/8,learnset/egg/9,learnset/egg/10,learnset/egg/11,learnset/egg/12,learnset/egg/13,learnset/egg/14,learnset/tutor/0,learnset/tutor/1,learnset/tutor/2,learnset/tutor/3,learnset/tutor/4,learnset/tutor/5,learnset/tutor/6,learnset/tutor/7,learnset/transfer/0,learnset/transfer/1,learnset/transfer/2,learnset/transfer/3,learnset/transfer/4,learnset/transfer/5,learnset/transfer/6,learnset/transfer/7,learnset/transfer/8,learnset/transfer/9,learnset/transfer/10,learnset/xy/14,learnset/xy/15,learnset/xyLevels/14,learnset/xyLevels/15,learnset/oras/14,learnset/oras/15,learnset/orasLevels/14,learnset/orasLevels/15,learnset/evolve/0,learnset/xy/16,learnset/xy/17,learnset/xy/18,learnset/xyLevels/16,learnset/xyLevels/17,learnset/xyLevels/18,learnset/oras/16,learnset/oras/17,learnset/oras/18,learnset/orasLevels/16,learnset/orasLevels/17,learnset/orasLevels/18,learnset/tmhm/30,learnset/tmhm/31,learnset/tmhm/32,learnset/tmhm/33,learnset/tmhm/34,learnset/tutor/8,learnset/tutor/9,learnset/tutor/10,learnset/transfer/11,learnset/tmhm/35,learnset/tmhm/36,learnset/transfer/12,learnset/transfer/13,learnset/transfer/14,learnset/transfer/15,learnset/transfer/16,learnset/xy/19,learnset/xy/20,learnset/xy/21,learnset/xyLevels/19,learnset/xyLevels/20,learnset/xyLevels/21,learnset/oras/19,learnset/oras/20,learnset/oras/21,learnset/orasLevels/19,learnset/orasLevels/20,learnset/orasLevels/21,learnset/tmhm/37,learnset/tmhm/38,learnset/tmhm/39,learnset/tmhm/40,learnset/tmhm/41,learnset/tmhm/42,learnset/tmhm/43,learnset/tmhm/44,learnset/tmhm/45,learnset/tmhm/46,learnset/tmhm/47,learnset/tmhm/48,learnset/special/0,learnset/transfer/17,learnset/transfer/18,learnset/transfer/19,learnset/transfer/20,learnset/egg/15,learnset/tutor/11,learnset/tutor/12,learnset/tutor/13,learnset/evolve/1,learnset/evolve/2,learnset/evolve/3,learnset/xy/22,learnset/xyLevels/22,learnset/oras/22,learnset/orasLevels/22,learnset/special/1,learnset/special/2,learnset/special/3,learnset/special/4,learnset/special/5,learnset/special/6,learnset/special/7,learnset/special/8,learnset/evolve/4,learnset/evolve/5,learnset/evolve/6,learnset/evolve/7,learnset/evolve/8,learnset/evolve/9,learnset/evolve/10,learnset/evolve/11,learnset/evolve/12,learnset/evolve/13,learnset/evolve/14,learnset/evolve/15,learnset/evolve/16,learnset/tmhm/49,learnset/tmhm/50,learnset/tmhm/51,learnset/tmhm/52,learnset/tmhm/53,learnset/tmhm/54,learnset/tmhm/55,learnset/tmhm/56,learnset/tutor/14,learnset/tutor/15,learnset/tutor/16,learnset/tutor/17,learnset/tutor/18,learnset/xy/23,learnset/xyLevels/23,learnset/oras/23,learnset/orasLevels/23,learnset/tutor/19,learnset/tutor/20,learnset/tutor/21,learnset/tutor/22,learnset/tutor/23,learnset/tutor/24,learnset/tutor/25,learnset/tutor/26,learnset/tutor/27,learnset/tutor/28,learnset/evolve/17,learnset/evolve/18,learnset/evolve/19,learnset/evolve/20,learnset/transfer/21,learnset/transfer/22,learnset/transfer/23,learnset/transfer/24,learnset/egg/16,learnset/tmhm/57,learnset/tmhm/58,learnset/tmhm/59,learnset/tmhm/60,learnset/tmhm/61,learnset/tmhm/62,learnset/tmhm/63,learnset/tmhm/64,learnset/tmhm/65,learnset/tmhm/66,learnset/tmhm/67,learnset/tmhm/68,learnset/tmhm/69,learnset/tmhm/70,learnset/tmhm/71,learnset/tmhm/72,learnset/tmhm/73,learnset/tmhm/74,learnset/tmhm/75,learnset/tmhm/76,learnset/tmhm/77,learnset/tmhm/78,learnset/tmhm/79,learnset/tmhm/80,learnset/tmhm/81,learnset/tmhm/82,learnset/tmhm/83,learnset/tmhm/84,learnset/tmhm/85,learnset/tmhm/86,learnset/tmhm/87,learnset/tmhm/88,learnset/tmhm/89,learnset/tmhm/90,learnset/tmhm/91,learnset/tmhm/92,learnset/tmhm/93,learnset/tmhm/94,learnset/tmhm/95,learnset/tmhm/96,learnset/tmhm/97,learnset/tmhm/98,learnset/tmhm/99,learnset/tmhm/100,learnset/tmhm/101,learnset/tmhm/102,learnset/tmhm/103,learnset/tmhm/104,learnset/tmhm/105,learnset/tmhm/106,learnset/tutor/29,learnset/tutor/30,learnset/tutor/31,learnset/tutor/32,learnset/tutor/33,learnset/tutor/34,learnset/tutor/35,learnset/tutor/36,learnset/tutor/37,learnset/tutor/38,learnset/tutor/39,learnset/tutor/40,learnset/tutor/41,learnset/tutor/42,learnset/tutor/43,learnset/tutor/44,learnset/tutor/45,learnset/tutor/46,learnset/tutor/47,learnset/tutor/48,learnset/tutor/49,learnset/tutor/50,learnset/tutor/51,learnset/tutor/52,learnset/tutor/53,learnset/tutor/54,learnset/tutor/55,learnset/tutor/56,learnset/tutor/57,learnset/tutor/58,learnset/tutor/59,learnset/transfer/25,learnset/transfer/26,learnset/transfer/27,learnset/transfer/28,learnset/transfer/29,learnset/transfer/30,learnset/transfer/31,learnset/transfer/32,learnset/transfer/33,learnset/transfer/34,learnset/transfer/35,learnset/transfer/36,learnset/transfer/37,learnset/transfer/38,learnset/transfer/39,learnset/transfer/40,learnset/xy/24,learnset/xyLevels/24,learnset/oras/24,learnset/orasLevels/24,learnset/egg/17
1,Bulbasaur,Seed,12,4,102,0,17,31,45,1,7,20,0.7,6.9,64,70,4,0,0,0,1,0,0,8,5,45,49,49,65,65,45,A strange seed was planted on its back at birth.  The plant sprouts and grows with this Pokémon.,"For some time after its birth, it grows by gaining nourishment from the seed on its back.","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.",546,220,296,586,384,488,551,418,540,221,121,610,545,461,0,3,7,9,13,13,15,19,21,25,27,31,33,37,546,220,296,586,384,488,551,418,540,221,121,610,545,461,0,3,7,9,13,13,15,19,21,25,27,31,33,37,568,584,249,532,299,398,450,201,502,429,120,491,158,427,26,447,140,152,182,543,215,537,489,530,438,459,352,80,100,524,14,71,99,151,211,217,218,278,293,310,352,375,394,481,490,216,40,211,288,461,499,545,610,216,64,67,351,203,347,525,236,47,331,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ivysaur,Seed,12,4,102,0,17,31,45,1,7,20,1,13,142,70,4,0,0,0,1,1,0,8,5,60,62,63,80,80,60,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.","When the bud on its back starts swelling, a sweet  aroma wafts to indicate the flower's coming bloom.","There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.",546,220,296,220,296,586,384,488,551,418,540,221,121,610,0,0,0,3,7,9,13,13,15,20,23,28,31,36,546,220,296,220,296,586,384,488,551,418,540,221,121,610,0,0,0,3,7,9,13,13,15,20,23,28,31,36,568,584,249,532,299,398,450,201,502,429,120,491,158,427,26,447,140,152,182,543,215,537,489,530,438,459,352,80,100,524,14,71,99,151,211,217,218,278,293,310,352,375,394,481,490,216,40,211,288,461,499,545,610,216,64,67,351,203,347,525,236,47,331,105,545,502,39,44,545,502,39,44,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Venusaur,Seed,12,4,102,0,17,31,45,1,7,20,2,100,236,70,4,0,0,0,2,1,0,8,5,80,82,83,100,100,80,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.","After a rainy day, the flower on its back smells  stronger. The scent attracts other Pokémon.",There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,546,220,296,586,220,296,586,384,488,551,418,540,221,121,0,0,0,0,3,7,9,13,13,15,20,23,28,31,546,220,296,586,220,296,586,384,488,551,418,540,221,121,0,0,0,0,3,7,9,13,13,15,20,23,28,31,432,568,584,249,532,261,299,398,450,201,502,139,429,120,491,158,427,26,447,140,152,212,182,543,62,215,537,489,530,438,14,71,99,151,211,217,218,278,293,310,352,375,394,481,490,199,216,40,45,211,288,365,461,199,216,64,67,351,203,347,525,236,47,331,375,610,32,39,375,610,32,39,461,545,374,502,45,50,53,545,374,502,45,50,53,459,352,80,100,524,499,545,610,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Charmander,Lizard,10,0,14,0,144,31,45,1,14,20,0.6,8.5,62,70,4,0,0,0,0,0,1,6,8,39,52,43,60,50,65,"The flame on its tail indicates Charmander's life  force. If it's healthy, the flame burns brightly.","From the time is born, a flame burns at the tip of  its tail. Its life would end if the flame were to  go out.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",456,220,148,496,128,455,171,177,487,180,174,276,,,0,0,7,10,16,19,25,28,34,37,43,46,,,456,220,148,496,128,455,171,177,487,180,174,276,,,0,0,7,10,16,19,25,28,34,37,43,46,,,253,125,568,249,532,398,201,429,110,55,120,180,170,440,7,158,178,427,26,447,140,366,185,275,603,466,543,437,537,489,11,15,35,37,41,90,96,126,127,129,181,191,326,365,,172,127,173,191,245,282,499,561,172,151,67,351,203,541,347,236,322,321,47,,,,,,,,,,,,,,,,,,,,,,530,438,459,395,80,,,,121,100,524,463,331,137,151,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Charmeleon,Flame,10,0,14,0,144,31,45,1,14,20,1.1,19,142,70,4,0,0,0,1,0,1,6,8,58,64,58,80,65,80,It lashes about with its tail to knock down its foe.  It then tears up the fallen opponent with  sharp claws. ,"When it swings its burning tail, it elevates the air temperature to unbearably high levels.","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",456,220,148,148,496,128,455,171,177,487,180,174,276,,0,0,0,7,10,17,21,28,32,39,43,50,54,,456,220,148,148,496,128,455,171,177,487,180,174,276,,0,0,0,7,10,17,21,28,32,39,43,50,54,,253,125,568,249,532,398,201,429,110,55,120,180,170,440,7,158,178,427,26,447,140,366,185,275,603,466,543,437,537,489,11,15,35,37,41,90,96,126,127,129,181,191,326,365,,172,127,173,191,245,282,499,561,172,151,67,351,203,541,347,236,322,321,47,,,,,,,,,,,,,,,,,,,,,,530,438,459,395,80,,,,121,100,524,463,331,137,151,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Charizard,Flame,10,3,14,0,144,31,45,1,14,20,1.7,90.5,240,70,4,0,0,0,3,0,0,6,8,78,84,78,109,85,100,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.","Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",181,245,125,466,12,456,220,148,496,148,496,128,455,171,0,0,0,0,0,0,0,0,0,7,10,17,21,28,181,245,125,466,12,456,220,148,496,148,496,128,455,171,0,0,0,0,0,0,0,0,0,7,10,17,21,28,253,125,432,568,249,532,261,398,445,201,502,139,429,110,55,120,180,170,440,7,158,178,427,26,447,140,366,517,189,185,11,15,35,37,41,90,96,126,127,129,181,191,326,365,,42,172,127,173,191,245,282,365,42,172,151,67,351,106,203,363,541,347,578,177,604,32,36,177,604,32,36,,487,180,174,41,47,56,487,180,174,41,47,56,483,275,603,466,212,499,550,561,236,543,62,322,321,47,121,463,276,245,181,62,71,77,276,245,181,62,71,77,437,130,537,489,530,438,459,395,80,100,187,524,252,331,137,151,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Squirtle,Tiny Turtle,11,0,170,0,117,31,45,1,2,20,0.5,9,63,70,4,0,0,1,0,0,0,6,2,44,48,65,50,64,43,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.",Shoots water at prey while in the water. Withdraws into its shell when in danger. ,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",546,549,591,606,57,41,417,398,593,18,481,280,416,260,0,4,7,10,13,16,19,22,25,28,31,34,37,40,546,549,591,606,57,41,417,398,593,18,481,280,416,260,0,4,7,10,13,16,19,22,25,28,31,34,37,40,568,229,249,266,44,398,416,201,429,110,55,120,440,158,427,26,447,454,185,228,537,489,530,438,459,395,80,536,524,597,16,17,27,56,127,161,176,194,233,335,338,346,348,425,596,592,18,127,191,269,273,280,282,114,592,151,67,351,599,347,444,236,322,321,,,,,,,,,,,,,,,,,,,,,,114,,,,,499,593,616,47,,,121,90,463,331,137,,,,,,,,,,,,,,,,,,,,,,,,,,151,105,,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wartortle,Turtle,11,0,170,0,117,31,45,1,2,20,1,22.5,142,70,4,0,0,1,0,1,0,6,2,59,63,80,65,80,58,"When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.",546,549,591,549,591,606,57,41,417,398,593,18,481,280,0,0,0,4,7,10,13,16,20,24,28,32,36,40,546,549,591,549,591,606,57,41,417,398,593,18,481,280,0,0,0,4,7,10,13,16,20,24,28,32,36,40,568,229,249,266,44,398,416,201,429,110,55,120,440,158,427,26,447,454,185,228,537,489,530,438,459,395,80,536,524,597,16,17,27,56,127,161,176,194,233,335,338,346,348,425,596,592,18,127,191,269,273,280,282,114,592,151,67,351,599,347,444,236,322,321,416,260,44,48,416,260,44,48,,,,,,,,,,,,,,114,,,,,499,593,616,47,,,121,90,463,331,137,,,,,,,,,,,,,,,,,,,,,,,,,,151,105,,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Blastoise,Shellfish,11,0,170,0,117,31,45,1,2,20,1.6,85.5,239,70,4,0,0,0,0,3,0,6,2,79,83,100,85,105,78,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",The pressurized water jets on this brutal Pokémon's shell are used for high-speed tackles.,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,183,546,549,591,606,549,591,606,57,41,417,398,593,18,0,0,0,0,0,4,7,10,13,16,20,24,28,32,183,546,549,591,606,549,591,606,57,41,417,398,593,18,0,0,0,0,0,4,7,10,13,16,20,24,28,32,432,568,229,249,266,44,261,398,416,201,493,139,429,110,55,120,440,158,427,26,447,189,454,185,212,228,62,437,130,537,16,17,27,56,127,161,176,194,233,335,338,346,348,425,596,259,592,18,127,191,269,273,280,114,259,592,151,30,67,351,599,347,444,236,481,280,39,46,481,280,39,46,,416,260,,53,60,,416,260,,53,60,,489,530,183,438,459,282,365,475,322,101,395,321,47,121,90,463,,,,,,,,,,,,,80,536,524,597,114,,,,,,,,,331,137,151,105,614,499,593,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Caterpie,Worm,7,0,137,0,125,127,255,3,0,15,0.3,2.9,39,70,2,1,0,0,0,0,0,14,5,45,30,35,20,20,45,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.",Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",546,525,59,,,,,,,,,,,,0,0,15,,,,,,,,,,,,546,525,59,,,,,,,,,,,,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,146,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
