number,name,species,primary_type,secondary_type,pokedexX,pokedexY,pokedexOR,pokedexAS
1,Bulbasaur,Seed,GRASS,POISON,A strange seed was planted on its back at birth.  The plant sprouts and grows with this Pok̩mon.,"For some time after its birth, it grows by gaining nourishment from the seed on its back.","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger."
2,Ivysaur,Seed,GRASS,POISON,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.","When the bud on its back starts swelling, a sweet  aroma wafts to indicate the flower's coming bloom.","There is a bud on this Pok̩mon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","There is a bud on this Pok̩mon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon."
3,Venusaur,Seed,GRASS,POISON,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.","After a rainy day, the flower on its back smells  stronger. The scent attracts other Pok̩mon.",There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.
4,Charmander,Lizard,FIRE,NONE,"The flame on its tail indicates Charmander's life  force. If it's healthy, the flame burns brightly.","From the time is born, a flame burns at the tip of  its tail. Its life would end if the flame were to  go out.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pok̩mon becomes enraged, the flame burns fiercely.","The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pok̩mon becomes enraged, the flame burns fiercely."
5,Charmeleon,Flame,FIRE,NONE,It lashes about with its tail to knock down its foe.  It then tears up the fallen opponent with  sharp claws. ,"When it swings its burning tail, it elevates the air temperature to unbearably high levels.","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
6,Charizard,Flame,FIRE,FLYING,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.","Its wings can carry this Pok̩mon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
7,Squirtle,Tiny Turtle,WATER,NONE,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity.",Shoots water at prey while in the water. Withdraws into its shell when in danger. ,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pok̩mon to swim at high speeds.","Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pok̩mon to swim at high speeds."
8,Wartortle,Turtle,WATER,NONE,"When tapped, this Pok̩mon will pull in its head, but its tail will still stick out a little bit.","It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pok̩mon's toughness as a battler.","Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pok̩mon's toughness as a battler."
9,Blastoise,Shellfish,WATER,NONE,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",The pressurized water jets on this brutal Pok̩mon's shell are used for high-speed tackles.,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
10,Caterpie,Worm,BUG,NONE,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.",Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pok̩mon releases a terrifically strong odor.","Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pok̩mon releases a terrifically strong odor."
11,Metapod,Cocoon,BUG,NONE,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.,"This Pok̩mon is vulnerable to attack while its shell is soft, exposing its weak and tender body.",The shell covering this Pok̩mon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,The shell covering this Pok̩mon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.
12,Butterfree,Butterfly,BUG,FLYING,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,"The wings are protected by rain-repellent dust. As a result, this Pok̩mon can fly about even in rain.","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
13,Weedle,Hairy,BUG,POISON,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
14,Kakuna,Cocoon,BUG,POISON,"Almost incapable of moving, this Pok̩mon can only harden its shell to protect itself when it is in danger.","While awaiting evolution, it hides from predators under leaves and in nooks of branches.","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
15,Beedrill,Poison Bee,BUG,POISON,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.","Beedrill is extremely territorial. No one should ever approach its nest-this is for their own safety. If angered, they will attack in a furious swarm.","Beedrill is extremely territorial. No one should ever approach its nest-this is for their own safety. If angered, they will attack in a furious swarm."
16,Pidgey,Tiny Bird,NORMAL,FLYING,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."
17,Pidgeotto,Bird,NORMAL,FLYING,The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.,"Very protective of its sprawling territorial area, this Pok̩mon will fiercely peck at any intruder.","Pidgeotto claims a large area as its own territory. This Pok̩mon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","Pidgeotto claims a large area as its own territory. This Pok̩mon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
18,Pidgeot,Bird,NORMAL,FLYING,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp.",It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.,"This Pok̩mon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pok̩mon.","This Pok̩mon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pok̩mon."
19,Rattata,Mouse,NORMAL,NONE,"Living wherever there is food available, it ceaselessly scavenges for edibles the entire day.","Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down. ","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives-it will make its nest anywhere.","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives-it will make its nest anywhere."
20,Raticate,Mouse,NORMAL,NONE,It whittles its constantly growing fangs by gnawing on hard things. It can chew apart cinder walls.,The webs on its hind legs enable it to cross rivers. It searches wide areas for food,"Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses."
21,Spearow,Tiny Bird,NORMAL,FLYING,"Very protective of its territory, it flaps its short wings busily to dart around at high speed.",Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger."
22,Fearow,Beak,NORMAL,FLYING,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",It has the stamina to fly all day on its broad wings. It fights by using its sharp beak. ,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.
